127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:29, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:17:30, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:30, GET, /admin/default/site, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-12-02 14:17:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-12-02 14:17:42, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.323000
127.0.0.1, 2015-12-02 14:17:42, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:42, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:42, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:17:42, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:17:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-12-02 14:18:07, POST, /admin/default/site, HTTP/1.1, 303, 0.274000
127.0.0.1, 2015-12-02 14:18:07, GET, /admin/default/design/tidetest, HTTP/1.1, 200, 0.199000
127.0.0.1, 2015-12-02 14:18:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/default/edit/tidetest/models/db.py, HTTP/1.1, 200, 0.106000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-12-02 14:20:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001000
